,,Total,,,   Monday,,,   Tuesday,,,   Wednesday,,,   Thursday,,,   Friday,,,   Saturday,,,   Sunday,,,   
Time,,sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),
Total	,week-12,$34530,$7625,(73/8/16/10/21),$4567,$946,(8/0/2/1/2),$4053,$1054,(9/0/3/2/2),$3326,$919,(11/0/2/2/3),$4210,$1253,(10/2/4/2/3),$7322,$1414,(13/2/3/1/4),$6084,$1219,(11/2/2/1/4),$4966,$817,(11/2/0/1/3),
	,week-22,$23648,$4373,(33/7/19/3/11),$1927,$477,(3/1/3/0/1),$2055,$422,(4/1/3/0/0),$1985,$497,(4/1/2/0/2),$3595,$558,(4/1/3/0/1),$5712,$1053,(8/1/4/1/3),$5751,$810,(5/1/3/1/2),$2619,$553,(5/1/1/1/2),
	,week-23,$26196,$4447,(31/7/21/6/14),$1515,$365,(2/1/2/0/1),$2773,$468,(3/1/2/1/1),$3127,$537,(4/1/2/1/1),$5383,$638,(4/1/3/1/1),$6196,$941,(7/1/5/1/5),$4211,$852,(6/1/4/1/3),$2988,$643,(5/1/3/1/2),
	,week-24,$29301,$4478,(34/6/21/8/15),$2119,$435,(3/1/2/1/1),$3675,$512,(4/1/3/1/2),$2198,$417,(3/1/2/1/2),$4561,$589,(5/1/3/1/1),$5643,$946,(7/1/4/2/3),$5354,$773,(6/1/3/1/3),$5749,$802,(6/0/4/1/3),
	,week-25,$25333,$5222,(32/10/22/8/15),$0,$619,(3/2/2/1/3),$270,$916,(4/3/4/2/2),$4683,$559,(4/1/2/1/1),$4481,$628,(5/1/3/0/1),$6470,$1041,(6/1/4/2/3),$5201,$899,(6/1/4/1/3),$4227,$558,(4/1/3/1/2),
	,week-26,$27845,$4538,(32/10/18/8/14),$2547,$401,(3/1/1/1/1),$3484,$588,(3/2/3/1/1),$3278,$579,(4/3/2/1/1),$2896,$576,(5/1/2/0/2),$6315,$915,(6/1/3/2/4),$5648,$769,(6/1/3/1/3),$3675,$708,(5/1/4/2/2),
	,week-27,$24321,$3881,(33/8/15/6/10),$1535,$337,(2/1/1/1/1),$1285,$323,(3/1/2/1/1),$3383,$615,(4/2/2/1/2),$2832,$435,(4/1/1/0/1),$6030,$819,(7/1/3/1/2),$5634,$720,(7/1/3/1/2),$3618,$629,(6/1/3/1/1),
	,week-28,$26408,$4051,(28/7/22/8/10),$2540,$271,(2/1/2/1/1),$3766,$434,(2/1/2/1/1),$2421,$486,(4/1/3/1/1),$2583,$577,(4/1/3/1/1),$4719,$815,(6/1/3/2/3),$5748,$791,(6/1/5/0/2),$4627,$674,(4/1/4/2/1),
	,week-29,$26551,$4034,(30/6/17/10/13),$1990,$288,(2/1/1/1/1),$2680,$441,(3/0/3/0/2),$2989,$486,(3/1/1/1/2),$3232,$506,(4/1/2/1/1),$5527,$847,(7/1/3/2/3),$6976,$889,(6/1/4/3/2),$3154,$574,(5/1/3/2/2),
	,week-30,$22881,$3605,(25/8/10/7/13),$2707,$346,(2/1/1/1/1),$2011,$398,(3/0/1/1/2),$2355,$435,(2/1/1/1/2),$4648,$473,(3/1/2/1/1),$5732,$730,(6/1/1/1/3),$5427,$716,(6/2/3/1/2),$0,$505,(3/2/1/1/2),
	,week-31,$24232,$3336,(25/7/13/4/7),$1872,$263,(2/1/1/0/1),$2210,$420,(3/1/1/1/1),$2902,$376,(2/1/1/1/1),$2193,$490,(4/1/2/1/2),$5958,$717,(6/1/2/0/2),$5312,$661,(5/1/3/1/0),$3781,$406,(3/1/3/0/0),
